Sl. No.,Timestamp,Starting_weight,Current_weight,Weight_loss,Exercise,Exercise(Days/Week),Exercise Intensity,Duration of Exercise (minutes),Duration,Type of Exercise,,,
1,05-02-2023 22:19,85.3,78.2,17.2,6,6 Days,Moderate,45 to 60 mins,30,Heavyweight Training,,Less than 15 mins,15
2,05-02-2023 21:56,72.1,68.6,12.96,5,7 Days,Moderate,30 to 45 mins,30,Heavyweight Training,,15 to 30 mins,30
3,05-02-2023 21:56,67.8,63.5,14.6,6,3 Days,Moderate,45 to 60 mins,30,Calisthenics,,30 to 45 mins,45
4,05-02-2023 21:38,91.6,84.9,0.94,6,2 Days,Moderate,15 to 30 mins,30,Calisthenics,,45 to 60 mins,60
5,05-02-2023 22:19,76.5,72.8,10.74,5,7 Days,Moderate,45 to 60 mins,45,Calisthenics,,More than 60 Mins,90
6,05-02-2023 22:19,80.4,75.1,-8.68,5,1 Day,Light,30 to 45 mins,30,Calisthenics,,,
7,05-02-2023 22:19,79.2,74.3,-3.89,5,5 Days,Light,45 to 60 mins,30,Heavyweight Training,,,
8,05-03-2023 16:00,88.9,82.4,13.59,5,5 Days,Moderate,30 to 45 mins,45,Heavyweight Training,,,
9,05-02-2023 23:26,73.7,69.9,-1.09,5,5 Days,Vigorous,More than 60 mins,30,Heavyweight Training,,,
10,05-02-2023 21:56,82.6,77.6,-3.45,6,6 Days,Moderate,45 to 60 mins,45,Heavyweight Training,,,
11,05-02-2023 22:19,90.2,83.6,7.59,5,7 Days,Light,15 to 30 mins,45,Calisthenics,,,
12,05-03-2023 09:49,77.9,73.6,3.68,5,5 Days,Moderate,45 to 60 mins,45,Calisthenics,,,
13,05-02-2023 21:48,81.3,76.4,8.04,6,3 Days,Light,30 to 45 mins,30,Heavyweight Training,,,
14,05-02-2023 21:57,75.8,71.8,-7.6,5,6 Days,Vigorous,45 to 60 mins,60,Heavyweight Training,,,
